Latitude,Longitude,@id,operator,telecom,level,operator:wikidata,ref,description,addr:housenumber,addr:city,addr:postcode,addr:street,name,website,contact:city,contact:housenumber,contact:postcode,contact:street,@relations,building,source,description:en,opening_hours,phone,office,data_center:power,alt_name,old_name,operator:wikipedia,wikidata,check_date,name:en
49.265256,1.221457,,,,,,,,,,,,Datacenter BNP,,,,,,,,,,,,,,,,,,,
48.835981,2.801996,node/7900705124,,,,,,,,,,,Datacenter BNP Paribas Marne Est 1,,,,,,[object Object],,,,,,,,,,,,,
48.836539,2.803037,node/13180731911,,,,,,,,,,,Datacenter BNP Paribas Marne Est 2,,,,,,[object Object],,,,,,,,,,,,,
48.7256141,2.4709503,node/9002215626,Bouygues Télécom,data_center,,Q581438,,,,,,,Datacenter Bouygues Télécom,,,,,,,,,,,,,,,,,,,
48.769287,2.227478,,,,,,,,,,,,Datacenter Bouygues Télécom,,,,,,,,,,,,,,,,,,,
48.776718,2.24179,,,,,,,,,,,,Datacenter Bouygues Télécom,,,,,,,,,,,,,,,,,,,
48.777022,2.24193,,,,,,,,,,,,Datacenter Bouygues Télécom,,,,,,,,,,,,,,,,,,,
48.973224,2.04365,,,,,,,,,,,,Datacenter Bouygues Télécom,,,,,,,,,,,,,,,,,,,
48.815851,2.302859,,,,,,,,,,,,Datacenter Colt,,,,,,,,,,,,,,,,,,,
48.910161,2.395492,,,,,,,,,,,,Datacenter Completel,,,,,,,,,,,,,,,,,,,
48.5803658,7.7633567,node/8904810128,,data_center,,,,,,,,,Datacenter de l'Université de Strasbourg,,,,,,,,,,,,,,,,,,,
49.054127,2.066782,,,,,,,,,,,,Datacenter des Douanes,,,,,,,,,,,,,,,,,,,
48.9203538,2.34085,node/8297551605,EDF,data_center,,,,,,,,,Datacenter EDF,,,,,,,data_center,,,,,,,,,,,,
49.01188,1.398225,,,,,,,,,,,,Datacenter EDF,,,,,,,,,,,,,,,,,,,
43.62626,3.909309,,,,,,,,,,,,Datacenter France Travail,,,,,,,,,,,,,,,,,,,
48.07005,-1.836905,,,,,,,,,,,,Datacenter Groupama,,,,,,,,,,,,,,,,,,,
47.059978,2.356825,,,,,,,,,,,,Datacenter Groupama,,,,,,,,,,,,,,,,,,,
45.440628,4.400483,,,,,,,,,,,,Datacenter Groupe Casino,,,,,,,,,,,,,,,,,,,
48.830896,2.67265,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
48.832499,2.692873,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
45.807653,3.14239,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
45.836035,3.137712,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
45.836368,3.138056,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
50.56514,3.030746,,,,,,,,,,,,Datacenter IBM,,,,,,,,,,,,,,,,,,,
43.642908,3.830066,,,,,,,,,,,,Datacenter IBM - Grabels,,,,,,,,,,,,,,,,,,,
45.784135,3.131028,,,,,,,,,,,,Datacenter IBO,,,,,,,,,,,,,,,,,,,
48.834879,2.58801,,,,,,,,,,,,Datacenter Marilyn,,,,,,,,,,,,,,,,,,,
48.6532272,6.1302895,node/9045173270,MGEN,data_center,,,,,,,,,Datacenter MGEN,,,,,,,,,,,,,,,,,,,
48.656094,6.150541,,,,,,,,,,,,Datacenter Mutualisé Lorrain,,,,,,,,,,,,,,,,,,,
48.786636,2.21853,,,,,,,,,,,,Datacenter Orange,,,,,,,,,,,,,,,,,,,
48.8628101,2.3583926,node/7902351616,Orange,data_center,,,,,,,,,Datacenter Orange Archives,,,,,,,,,,,,,,,,,,,
48.82918,2.587194,,,,,,,,,,,,Datacenter Oxya,,,,,,,,,,,,,,,,,,,
48.9196226,2.3399387,node/8297362166,RTE,data_center,,,,,,,,,Datacenter RTE,,,,,,,data_center,,,,,,,,,,,,
48.7919993,2.0500164,node/8670043375,RTE,data_center,,,,,,,,,Datacenter RTE,,,,,,,data_center,,,,,,,,,,,,
45.7404807,4.832222,node/8670065237,RTE,data_center,,,,,,,,,Datacenter RTE,,,,,,,,,,,,,,,,,,,
48.621449,2.55372,,,,,,,,,,,,Datacenter Sirius,,,,,,,,,,,,,,,,,,,
50.622915,3.088499,,,,,,,,,,,,Datacenter SNCF RESARAIL,,,,,,,,,,,,,,,,,,,
48.646591,2.499025,,,,,,,,,,,,Datacenter Société Generale,,,,,,,,,,,,,,,,,,,
43.3359205,5.4119359,node/12154384214,Aix-Marseille Université,data_center,,,DC SUD,,,,,,Datacenter Sud,,,,,,,,https://datacentersud.univ-amu.fr/,,,,,,,,,,,
48.7909399,1.9752915,node/7902527604,THALES,data_center,,,,,2,,,Avenue Gay-Lussac,Datacenter Thales Nungesser,,,,,,,,,,,,,,,,,,,
48.844744,2.80433,,,,,,,,,,,,Datacenter Vega,,,,,,,,,,,,,,,,,,,
48.568777,7.782606,,,,,,,,,,,,Datadock,,,,,,,,,,,,,,,,,,,
48.7837888,2.2080871,node/8074063731,dc2scale,data_center,,,,250 m² de salle informatique d’une capacité de 60 racks,16,Vélizy-Villacoublay,78140,Rue Grange Dame Rose,dc2scale Vélizy,https://dc2scale.fr/en/datacenters/velizy/,,,,,,,,"1 floor with a capacity of 250 m², available for individual cages, racks and even individual servers",24/7,+33184207217,,,,,,,,
48.784247,2.209142,,,,,,,,,,,,DC2SCALE Vélizy Latécoère,,,,,,,,,,,,,,,,,,,
48.520133,7.737151,,,,,,,,,,,,DC7 - Euclyde Datacenters,,,,,,,,,,,,,,,,,,,
48.824384,2.725039,,,,,,,,,,,,Digital Realty PAR12,,,,,,,,,,,,,,,,,,,
48.904223,2.371137,,,,,,,,,,,,Digital Realty Paris PAR5,,,,,,,,,,,,,,,,,,,
48.817036,2.404863,,,,,,,,,,,,Digital Realty Paris PAR6,,,,,,,,,,,,,,,,,,,
44.1990193,0.8376222,node/9969529152,,data_center,,,,,,,,,DTC,,,,,,,,,,,,,,,,,,,
47.3400512,5.0776704,node/10241762412,,data_center,,,,,24,Saint-Apollinaire,21850,Rue de la Redoute,DTiX,https://www.dtix.fr/,,,,,,,,,,,,,,,,,,
48.5976468,2.1976171,node/12578588217,,data_center,,,,,,,,,Eclairion,https://eclairion.com/,,,,,,,,,,,,,,,,,,
45.831236,3.115128,,,,,,,,,,,,Ecocenter,,,,,,,,,,,,,,,,,,,
45.7719763,4.8718044,node/6212483563,,data_center,,,,data center,,,,,ELB Group - DATACENTER LYON 3,,,,,,,,,,,,,,,,,,,
44.896468,-0.61193,,,,,,,,,,,,Equinix,,,,,,,,,,,,,,,,,,,
48.927504,2.351696,,,,,,,,,,,,Equinix PA2,,,,,,,,,,,,,,,,,,,
48.927349,2.350044,,,,,,,,,,,,Equinix PA3,,,,,,,,,,,,,,,,,,,
48.900245,2.422163,,,,,,,,,,,,Equinix PA4,,,,,,,,,,,,,,,,,,,
48.905337,2.369764,,,,,,,,,,,,Equinix PA5,,,,,,,,,,,,,,,,,,,
48.910034,2.368283,,,,,,,,,,,,Equinix PA6,,,,,,,,,,,,,,,,,,,
48.9022393,2.3695304,node/6174794770,Equinix,data_center,,Q851641,PA7,data center,45,Aubervilliers,93300,Avenue Victor Hugo,Equinix PA7,,,,,,,,,,,,,,,,,,,
48.904942,2.259407,,,,,,,,,,,,Equinix PA7,,,,,,,,,,,,,,,,,,,
48.900866,2.421541,,,,,,,,,,,,Equinix PA8X,,,,,,,,,,,,,,,,,,,
