annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2021;800210702;Plein Sud 2;20;;RUE;CAMILLE CLAUDEL;20 RUE CAMILLE CLAUDEL;1;1510.776;TERTIAIRE;ENT;61;80021;Amiens;248000531;80;32;3238
2021;800210501;Petit Saint-Jean;6;;RUE;COLBERT;6 RUE COLBERT;1;315.844;TERTIAIRE;ENT;61;80021;Amiens;248000531;80;32;3245
2021;800210204;Étouvie 4;522;;RUE;D ABBEVILLE;522 RUE D ABBEVILLE;1;77.352;TERTIAIRE;ENT;61;80021;Amiens;248000531;80;32;3258
2024;130010907;Arbois Partie Ouest;;;ROUTE;DU PETIT MOULIN;ROUTE DU PETIT MOULIN;1;8.575;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3259
2022;130010907;Arbois Partie Ouest;;;ROUTE;DU PETIT MOULIN;ROUTE DU PETIT MOULIN;1;30.371;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3274
2021;800210702;Plein Sud 2;578;;RUE;DE PARIS;578 RUE DE PARIS;1;1063.546;TERTIAIRE;ENT;61;80021;Amiens;248000531;80;32;3397
2021;800210901;Amiens-Val d'Avre 1;35;;RUE;DE QUEBEC;35 RUE DE QUEBEC;1;137.738;TERTIAIRE;ENT;61;80021;Amiens;248000531;80;32;3409
2024;130010906;Z.I. Les Milles;45;;RUE;HENRI BESSEMER;45 RUE HENRI BESSEMER;1;429.806;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3478
2023;130010206;Couronne Ouest partie sud;4;;RUE;LAPIERRE;4 RUE LAPIERRE;1;874.74;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3542
2022;130010206;Couronne Ouest partie sud;4;;RUE;LAPIERRE;4 RUE LAPIERRE;1;885.179;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3546
2022;130010907;Arbois Partie Ouest;260;;RUE;LOUIS DE BROGLIE;260 RUE LOUIS DE BROGLIE;1;4070.869;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3571
2023;130010907;Arbois Partie Ouest;260;;RUE;LOUIS DE BROGLIE;260 RUE LOUIS DE BROGLIE;1;4575.62;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3576
2022;130010907;Arbois Partie Ouest;;;RUE;LOUIS DE BROGLIE;RUE LOUIS DE BROGLIE;1;106.581;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3578
2024;130010206;Couronne Ouest partie sud;4;;RUE;LAPIERRE;4 RUE LAPIERRE;1;788.391;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3583
2023;130010907;Arbois Partie Ouest;;;RUE;LOUIS DE BROGLIE;RUE LOUIS DE BROGLIE;1;104.407;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3584
2024;130010907;Arbois Partie Ouest;260;;RUE;LOUIS DE BROGLIE;260 RUE LOUIS DE BROGLIE;1;4860.714;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3616
2024;130010907;Arbois Partie Ouest;;;RUE;LOUIS DE BROGLIE;RUE LOUIS DE BROGLIE;1;120.69;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3623
2022;130010907;Arbois Partie Ouest;;;;N 6505, ROUTE DE LA TOUR D'ABBOIS;N 6505, ROUTE DE LA TOUR D'ABBOIS;1;5776.202;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3663
2023;130010907;Arbois Partie Ouest;;;;N 6505, ROUTE DE LA TOUR D'ABBOIS;N 6505, ROUTE DE LA TOUR D'ABBOIS;1;5606.411;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3684
2022;130010906;Z.I. Les Milles;;;;PARC DE PICHAURY;PARC DE PICHAURY;1;51.264;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3689
2022;130010501;Beisson;10;;AVENUE;PAUL CEZANNE;10 AVENUE PAUL CEZANNE;2;540.465;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3696
2023;130010906;Z.I. Les Milles;;;;PARC DE PICHAURY;PARC DE PICHAURY;1;46.683;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3697
2023;130010501;Beisson;10;;AVENUE;PAUL CEZANNE;10 AVENUE PAUL CEZANNE;2;446.371;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3709
2024;130010907;Arbois Partie Ouest;;;;N 6505, ROUTE DE LA TOUR D'ABBOIS;N 6505, ROUTE DE LA TOUR D'ABBOIS;1;5335.679;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3721
2024;130010906;Z.I. Les Milles;;;;PARC DE PICHAURY;PARC DE PICHAURY;1;49.004;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3737
2024;130010501;Beisson;10;;AVENUE;PAUL CEZANNE;10 AVENUE PAUL CEZANNE;2;399.593;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3753
2023;130010907;Arbois Partie Ouest;;;;RD 9;RD 9;1;19.863;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3780
2022;130010907;Arbois Partie Ouest;;;;RD 9;RD 9;1;15.061;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3787
2024;130010907;Arbois Partie Ouest;;;;RD 9;RD 9;1;21.374;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3819
2022;130010906;Z.I. Les Milles;;;;Z . I . A L L E E D E S I N G E N;Z . I . A L L E E D E S I N G E N;1;126.055;TERTIAIRE;ENT;61;13001;Aix-en-Provence;200054807;13;93;3908
2021;440030101;Zones d'Activités-Campagne;319;;RUE;DU BARON GEOFFROY;319 RUE DU BARON GEOFFROY;1;195.879;TERTIAIRE;ENT;61;44003;Ancenis-Saint-Géréon;244400552;44;52;3979
2023;730080204;Quartier Lepic;;;RUE;DES MARQUISATS;RUE DES MARQUISATS;1;441.261;TERTIAIRE;ENT;61;73008;Aix-les-Bains;200068674;73;84;4025
2021;330050102;Nord-Ouest;15;;AVENUE;DE BORDEAUX;15 AVENUE DE BORDEAUX;1;419.313;TERTIAIRE;ENT;61;33005;Andernos-les-Bains;243301504;33;75;4055
2022;730080204;Quartier Lepic;;;RUE;DES MARQUISATS;RUE DES MARQUISATS;1;459.383;TERTIAIRE;ENT;61;73008;Aix-les-Bains;200068674;73;84;4056
2024;730080204;Quartier Lepic;;;RUE;DES MARQUISATS;RUE DES MARQUISATS;1;388.439;TERTIAIRE;ENT;61;73008;Aix-les-Bains;200068674;73;84;4074
2021;330050103;Nord-Est;5;;RUE;NICEPHORE NIEPCE;5 RUE NICEPHORE NIEPCE;1;41.475;TERTIAIRE;ENT;61;33005;Andernos-les-Bains;243301504;33;75;4087
2021;490070503;Beaussier;14;;RUE;DE BELLE BEILLE;14 RUE DE BELLE BEILLE;1;580.126;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4350
2021;490070802;Copernic;7;;BOULEVARD;DE L INDUSTRIE;7 BOULEVARD DE L INDUSTRIE;1;90.113;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4384
2021;490070108;Louis Gain;3;;RUE;DE LA RAME;3 RUE DE LA RAME;1;274.374;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4432
2023;800160301;Quartier 3;;;RUE;HENRY POTEZ;RUE HENRY POTEZ;1;35.695;TERTIAIRE;ENT;61;80016;Albert;248000747;80;32;4513
2021;490071103;Château d'Orgemont;110;;RUE;DU CHATEAU D ORGEMONT;110 RUE DU CHATEAU D ORGEMONT;1;263.169;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4533
2022;800160301;Quartier 3;;;;R U E   H E N R Y   P O T E Z;R U E H E N R Y P O T E Z;1;33.062;TERTIAIRE;ENT;61;80016;Albert;248000747;80;32;4549
2024;800160301;Quartier 3;;;RUE;HENRY POTEZ;RUE HENRY POTEZ;1;38.131;TERTIAIRE;ENT;61;80016;Albert;248000747;80;32;4561
2022;730110101;Conflans;;;;;;1;252.668;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4561
2024;730110101;Conflans;;;;;;1;213.708;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4580
2022;730110105;Val des Roses;;;;A V   S T E   T H E R E S E;A V S T E T H E R E S E;1;555.969;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4582
2024;730110103;Saint-Sigismond;2;;RUE;DE LONGERAY;2 RUE DE LONGERAY;1;189.306;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4664
2021;490070905;Z.A. Gaston Birgé;36;;BOULEVARD;GASTON BIRGE;36 BOULEVARD GASTON BIRGE;1;271.108;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4707
2021;490070204;Brisepotière;52;;BOULEVARD;GASTON RAMON;52 BOULEVARD GASTON RAMON;1;1164.631;TERTIAIRE;ENT;61;49007;Angers;244900015;49;52;4714
2023;730110105;Val des Roses;;;AVENUE;SAINTE THERESE;AVENUE SAINTE THERESE;1;574.453;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4744
2023;730110101;Conflans;;;;X X X;X X X;1;220.845;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4748
2024;730110105;Val des Roses;;;AVENUE;SAINTE THERESE;AVENUE SAINTE THERESE;1;522.559;TERTIAIRE;ENT;61;73011;Albertville;200068997;73;84;4795
2022;810040702;Cantepau 2;;;;2 A V E N U E D U G E N E R A L H;2 A V E N U E D U G E N E R A L H;1;829.19;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;4813
2023;810040202;Université Verdun;17;B;RUE;DE CIRON;17 B RUE DE CIRON;1;493.502;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;4837
2024;810040202;Université Verdun;17;B;RUE;DE CIRON;17 B RUE DE CIRON;1;465.399;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;4889
2022;810040202;Université Verdun;17;B;RUE;DE CIRON;17 B RUE DE CIRON;1;539.028;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;4922
2023;810040603;Pélissier;;;CHEMIN;DU CLUZEL;CHEMIN DU CLUZEL;1;18.096;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;4976
2024;810040603;Pélissier;;;CHEMIN;DU CLUZEL;CHEMIN DU CLUZEL;1;42.563;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;5043
2023;810040702;Cantepau 2;36;;AVENUE;GENERAL HOCHE;36 AVENUE GENERAL HOCHE;1;46.792;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;5081
2023;810040702;Cantepau 2;2;;AVENUE;GENERAL HOCHE;2 AVENUE GENERAL HOCHE;1;799.353;TERTIAIRE;ENT;61;81004;Albi;248100737;81;76;5083
